id_partido,fecha,equipo_local,equipo_visitante,local_pct_anota_1inn_local,local_pct_anota_1inn_ult15,visit_pct_anota_1inn_visit,visit_pct_anota_1inn_ult15,pitcher_local_pct_permite_carrera_suavizado,pitcher_visit_pct_permite_carrera_suavizado,game_yrfi_target,home_yrfi_target,away_yrfi_target
778529,2025-03-29,Kansas City Royals,Cleveland Guardians,0.0,0.0,0.0,0.0,0.2,0.2,0,0,0
778540,2025-03-29,Cincinnati Reds,San Francisco Giants,1.0,1.0,0.0,0.0,0.1935,0.1935,0,0,0
778537,2025-03-29,Tampa Bay Rays,Colorado Rockies,0.0,0.0,0.0,0.0,0.1875,0.1875,0,0,0
778539,2025-03-29,Miami Marlins,Pittsburgh Pirates,0.0,0.0,0.0,0.0,0.1818,0.1818,1,0,1
778531,2025-03-29,Texas Rangers,Boston Red Sox,0.0,0.0,0.0,0.0,0.1912,0.1912,1,1,0
778530,2025-03-29,Houston Astros,New York Mets,0.0,0.0,0.0,0.0,0.2,0.2,0,0,0
778520,2025-03-29,San Diego Padres,Atlanta Braves,1.0,1.0,0.5,0.5,0.1944,0.1944,0,0,0
778532,2025-03-30,Arizona Diamondbacks,Chicago Cubs,0.5,0.5,0.0,0.0,0.1892,0.1774,0,0,0
778533,2025-03-30,Los Angeles Dodgers,Detroit Tigers,0.0,0.0,0.0,0.0,0.1727,0.1842,1,1,1
778521,2025-03-30,Seattle Mariners,Athletics,0.0,0.0,0.0,0.0,0.2051,0.2051,0,0,0
778526,2025-03-30,Washington Nationals,Philadelphia Phillies,0.0,0.0,0.0,0.0,0.2,0.2,0,0,0
778523,2025-03-30,New York Yankees,Milwaukee Brewers,1.0,1.0,0.0,0.0,0.1951,0.1951,1,1,1
778525,2025-03-30,Toronto Blue Jays,Baltimore Orioles,0.3333,0.3333,0.6667,0.6667,0.2143,0.2143,1,1,1
778522,2025-03-30,Cincinnati Reds,San Francisco Giants,0.5,0.5,0.0,0.0,0.2326,0.2326,0,0,0
778524,2025-03-30,Tampa Bay Rays,Colorado Rockies,0.0,0.0,0.0,0.0,0.2273,0.2273,1,1,0
778519,2025-03-30,Miami Marlins,Pittsburgh Pirates,0.0,0.0,0.3333,0.3333,0.2333,0.2333,0,0,0
778510,2025-03-30,Kansas City Royals,Cleveland Guardians,0.0,0.0,0.0,0.0,0.2283,0.2283,0,0,0
778527,2025-03-30,Chicago White Sox,Los Angeles Angels,0.0,0.0,0.0,0.0,0.2234,0.2234,1,1,1
778517,2025-03-30,St. Louis Cardinals,Minnesota Twins,1.0,1.0,0.0,0.0,0.2396,0.2396,1,0,1
778516,2025-03-30,Texas Rangers,Boston Red Sox,0.3333,0.3333,0.0,0.0,0.2449,0.2449,0,0,0
778515,2025-03-30,Arizona Diamondbacks,Chicago Cubs,0.3333,0.3333,0.0,0.0,0.24,0.24,0,0,0
778513,2025-03-30,Seattle Mariners,Athletics,0.0,0.0,0.0,0.0,0.2353,0.2353,0,0,0
778514,2025-03-30,San Diego Padres,Atlanta Braves,0.6667,0.6667,0.3333,0.3333,0.2308,0.2308,1,1,0
778506,2025-03-31,Chicago White Sox,Minnesota Twins,0.3333,0.3333,0.3333,0.3333,0.2358,0.2358,1,1,0
778504,2025-03-31,Milwaukee Brewers,Kansas City Royals,0.0,0.3333,0.0,0.0,0.2407,0.2407,1,0,1
778512,2025-03-31,Baltimore Orioles,Boston Red Sox,0.0,0.75,0.0,0.0,0.2455,0.2455,1,1,0
778502,2025-03-31,Philadelphia Phillies,Colorado Rockies,0.0,0.0,0.0,0.0,0.25,0.25,0,0,0
778511,2025-03-31,Cincinnati Reds,Texas Rangers,0.3333,0.3333,0.0,0.25,0.2456,0.2456,1,1,0
778509,2025-03-31,Miami Marlins,New York Mets,0.0,0.0,0.0,0.0,0.25,0.25,1,1,0
778508,2025-03-31,Tampa Bay Rays,Pittsburgh Pirates,0.3333,0.3333,0.25,0.25,0.2542,0.2542,0,0,0
778507,2025-03-31,Toronto Blue Jays,Washington Nationals,0.5,0.5,0.0,0.0,0.25,0.25,0,0,0
778503,2025-03-31,St. Louis Cardinals,Los Angeles Angels,0.6667,0.6667,0.3333,0.3333,0.2459,0.2459,1,1,0
778505,2025-04-01,Houston Astros,San Francisco Giants,0.0,0.0,0.0,0.0,0.25,0.25,0,0,0
778499,2025-04-01,San Diego Padres,Cleveland Guardians,0.75,0.75,0.0,0.0,0.246,0.246,1,0,1
778496,2025-04-01,Seattle Mariners,Detroit Tigers,0.0,0.0,0.3333,0.3333,0.25,0.25,1,0,1
778501,2025-04-01,Athletics,Chicago Cubs,0.0,0.0,0.0,0.0,0.2538,0.2538,1,0,1
778500,2025-04-01,Los Angeles Dodgers,Atlanta Braves,0.3333,0.2,0.25,0.25,0.2576,0.2576,1,1,0
778498,2025-04-01,Cincinnati Reds,Texas Rangers,0.5,0.5,0.0,0.2,0.2612,0.2449,1,0,1
778497,2025-04-01,Miami Marlins,New York Mets,0.2,0.2,0.0,0.0,0.2482,0.2647,1,1,0
778493,2025-04-01,Tampa Bay Rays,Pittsburgh Pirates,0.25,0.25,0.2,0.2,0.2681,0.2681,1,1,0
778492,2025-04-01,New York Yankees,Arizona Diamondbacks,1.0,1.0,0.0,0.25,0.2714,0.2714,0,0,0
778491,2025-04-01,Toronto Blue Jays,Washington Nationals,0.4,0.4,0.0,0.0,0.3134,0.2676,0,0,0
778490,2025-04-01,Chicago White Sox,Minnesota Twins,0.5,0.5,0.25,0.25,0.2639,0.2639,0,0,0
778488,2025-04-01,Milwaukee Brewers,Kansas City Royals,0.0,0.25,1.0,0.25,0.2603,0.2603,0,0,0
778495,2025-04-01,St. Louis Cardinals,Los Angeles Angels,0.75,0.75,0.25,0.25,0.2568,0.2568,0,0,0
778489,2025-04-02,Houston Astros,San Francisco Giants,0.0,0.0,0.0,0.0,0.2533,0.3,0,0,0
778485,2025-04-02,San Diego Padres,Cleveland Guardians,0.6,0.6,0.25,0.25,0.2969,0.25,0,0,0
778486,2025-04-02,Seattle Mariners,Detroit Tigers,0.0,0.0,0.5,0.5,0.2313,0.2468,1,0,1
778494,2025-04-02,Athletics,Chicago Cubs,0.0,0.0,0.2,0.1429,0.2344,0.2794,1,1,1
778487,2025-04-02,Los Angeles Dodgers,Atlanta Braves,0.5,0.3333,0.2,0.2,0.2595,0.3058,0,0,0
778480,2025-04-02,Cincinnati Reds,Texas Rangers,0.4,0.4,0.5,0.3333,0.2402,0.2402,0,0,0
778479,2025-04-02,Tampa Bay Rays,Pittsburgh Pirates,0.4,0.4,0.1667,0.1667,0.2373,0.2373,0,0,0
778477,2025-04-02,Milwaukee Brewers,Kansas City Royals,0.0,0.2,0.5,0.2,0.2969,0.2344,1,1,0
778473,2025-04-02,St. Louis Cardinals,Los Angeles Angels,0.6,0.6,0.2,0.2,0.2372,0.2372,1,0,1
778474,2025-04-02,Chicago White Sox,Minnesota Twins,0.4,0.4,0.2,0.2,0.24,0.3025,1,0,1
778478,2025-04-02,Toronto Blue Jays,Washington Nationals,0.3333,0.3333,0.0,0.0,0.2588,0.2426,1,1,0
778471,2025-04-02,Athletics,Chicago Cubs,0.5,0.1667,0.3333,0.25,0.2453,0.2453,0,0,0
778476,2025-04-02,San Diego Padres,Cleveland Guardians,0.5,0.5,0.2,0.2,0.2425,0.2425,0,0,0
778469,2025-04-02,Seattle Mariners,Detroit Tigers,0.0,0.0,0.6,0.6,0.2397,0.2397,0,0,0
778475,2025-04-02,Houston Astros,San Francisco Giants,0.0,0.0,0.0,0.0,0.237,0.2528,1,0,1
778481,2025-04-02,Miami Marlins,New York Mets,0.3333,0.3333,0.0,0.0,0.2396,0.2396,1,0,1
778483,2025-04-02,Baltimore Orioles,Boston Red Sox,1.0,0.8,0.0,0.0,0.2421,0.2421,0,0,0
778482,2025-04-02,Philadelphia Phillies,Colorado Rockies,0.0,0.0,0.0,0.0,0.2395,0.2395,0,0,0
778484,2025-04-02,New York Yankees,Arizona Diamondbacks,0.75,0.75,0.0,0.2,0.2369,0.2369,1,0,1
778472,2025-04-03,Los Angeles Dodgers,Atlanta Braves,0.4,0.2857,0.1667,0.1667,0.2394,0.2553,1,0,1
778470,2025-04-03,Baltimore Orioles,Boston Red Sox,0.5,0.6667,0.0,0.0,0.2418,0.2418,1,1,1
778467,2025-04-03,Philadelphia Phillies,Colorado Rockies,0.0,0.0,0.0,0.0,0.2656,0.249,0,0,0
778462,2025-04-03,Minnesota Twins,Houston Astros,0.0,0.3333,0.0,0.0,0.309,0.2465,1,1,0
778466,2025-04-03,New York Yankees,Arizona Diamondbacks,0.6,0.6,0.5,0.3333,0.2653,0.2487,1,1,0
778468,2025-04-03,Milwaukee Brewers,Cincinnati Reds,0.3333,0.3333,0.0,0.3333,0.3134,0.2509,0,0,0
778458,2025-04-04,Detroit Tigers,Chicago White Sox,0.0,0.5,0.0,0.3333,0.2484,0.2484,1,1,0
778463,2025-04-04,Boston Red Sox,St. Louis Cardinals,0.0,0.1429,0.0,0.5,0.3131,0.2506,1,1,0
778460,2025-04-04,Chicago Cubs,San Diego Padres,0.0,0.2222,0.0,0.4286,0.2379,0.2528,1,1,0
778465,2025-04-04,New York Mets,Toronto Blue Jays,0.0,0.1667,0.0,0.4286,0.2549,0.2549,1,1,0
778456,2025-04-04,Colorado Rockies,Athletics,0.0,0.0,0.0,0.1429,0.3194,0.2569,1,1,1
778461,2025-04-04,Pittsburgh Pirates,New York Yankees,0.0,0.1429,0.0,0.6667,0.2634,0.2634,0,0,0
778444,2025-04-04,San Francisco Giants,Seattle Mariners,0.0,0.1667,0.0,0.0,0.2609,0.2783,1,1,1
778457,2025-04-04,Washington Nationals,Arizona Diamondbacks,0.0,0.0,0.3333,0.2857,0.2672,0.2672,1,1,1
778459,2025-04-04,Philadelphia Phillies,Los Angeles Dodgers,0.0,0.0,0.0,0.25,0.2734,0.2574,1,1,0
778464,2025-04-04,Atlanta Braves,Miami Marlins,0.0,0.2857,0.0,0.2857,0.2752,0.2752,0,0,0
778455,2025-04-04,Kansas City Royals,Baltimore Orioles,0.0,0.1667,0.75,0.7143,0.2727,0.3352,1,1,0
778454,2025-04-05,Texas Rangers,Tampa Bay Rays,0.25,0.2857,0.0,0.3333,0.2745,0.2745,0,0,0
778453,2025-04-05,Milwaukee Brewers,Cincinnati Reds,0.25,0.2857,0.0,0.2857,0.2902,0.272,0,0,0
778447,2025-04-05,Los Angeles Angels,Cleveland Guardians,0.0,0.3333,0.1667,0.1667,0.2696,0.2696,1,1,1
778445,2025-04-05,Detroit Tigers,Chicago White Sox,1.0,0.5714,0.0,0.2857,0.338,0.338,1,1,1
778440,2025-04-05,Minnesota Twins,Houston Astros,1.0,0.4286,0.0,0.0,0.2812,0.2812,1,0,1
778450,2025-04-05,Chicago Cubs,San Diego Padres,0.3333,0.3,0.0,0.375,0.2829,0.2829,0,0,0
