Tipo,Umbral,Total Partidos,Predicciones,Aciertos,Precisión,Cobertura,Rentabilidad %
Local,0.5,1723,917,274,29.880043620501635,53.22112594312246,-43.2279171210469
Local,0.52,1723,63,16,25.396825396825395,3.656413232733604,-51.746031746031754
Local,0.54,1723,2,0,0.0,0.11607661056297155,-100.0
Local,0.55,1723,0,0,0.0,0.0,-100.0
Local,0.56,1723,0,0,0.0,0.0,-100.0
Local,0.57,1723,0,0,0.0,0.0,-100.0
Local,0.58,1723,0,0,0.0,0.0,-100.0
Local,0.59,1723,0,0,0.0,0.0,-100.0
Local,0.6,1723,0,0,0.0,0.0,-100.0
Local,0.62,1723,0,0,0.0,0.0,-100.0
Local,0.64,1723,0,0,0.0,0.0,-100.0
Local,0.65,1723,0,0,0.0,0.0,-100.0
Local,0.66,1723,0,0,0.0,0.0,-100.0
Local,0.67,1723,0,0,0.0,0.0,-100.0
Local,0.68,1723,0,0,0.0,0.0,-100.0
Local,0.69,1723,0,0,0.0,0.0,-100.0
Local,0.7,1723,0,0,0.0,0.0,-100.0
Local,0.72,1723,0,0,0.0,0.0,-100.0
Local,0.74,1723,0,0,0.0,0.0,-100.0
Local,0.75,1723,0,0,0.0,0.0,-100.0
Local,0.76,1723,0,0,0.0,0.0,-100.0
Local,0.78,1723,0,0,0.0,0.0,-100.0
Local,0.8,1723,0,0,0.0,0.0,-100.0
Local,0.82,1723,0,0,0.0,0.0,-100.0
Local,0.84,1723,0,0,0.0,0.0,-100.0
Local,0.85,1723,0,0,0.0,0.0,-100.0
Local,0.86,1723,0,0,0.0,0.0,-100.0
Local,0.88,1723,0,0,0.0,0.0,-100.0
Local,0.9,1723,0,0,0.0,0.0,-100.0
Local,0.92,1723,0,0,0.0,0.0,-100.0
Local,0.94,1723,0,0,0.0,0.0,-100.0
Local,0.95,1723,0,0,0.0,0.0,-100.0
Local,0.96,1723,0,0,0.0,0.0,-100.0
Local,0.98,1723,0,0,0.0,0.0,-100.0
Local,1.0,1723,0,0,0.0,0.0,-100.0
Visitante,0.5,1723,911,261,28.649835345773877,52.87289611143354,-45.56531284302964
Visitante,0.52,1723,228,69,30.263157894736842,13.232733604178758,-42.50000000000001
Visitante,0.54,1723,36,8,22.22222222222222,2.089378990133488,-57.777777777777786
Visitante,0.55,1723,17,5,29.411764705882355,0.9866511897852582,-44.11764705882353
Visitante,0.56,1723,4,1,25.0,0.2321532211259431,-52.5
Visitante,0.57,1723,3,0,0.0,0.17411491584445735,-100.0
Visitante,0.58,1723,0,0,0.0,0.0,-100.0
Visitante,0.59,1723,0,0,0.0,0.0,-100.0
Visitante,0.6,1723,0,0,0.0,0.0,-100.0
Visitante,0.62,1723,0,0,0.0,0.0,-100.0
Visitante,0.64,1723,0,0,0.0,0.0,-100.0
Visitante,0.65,1723,0,0,0.0,0.0,-100.0
Visitante,0.66,1723,0,0,0.0,0.0,-100.0
Visitante,0.67,1723,0,0,0.0,0.0,-100.0
Visitante,0.68,1723,0,0,0.0,0.0,-100.0
Visitante,0.69,1723,0,0,0.0,0.0,-100.0
Visitante,0.7,1723,0,0,0.0,0.0,-100.0
Visitante,0.72,1723,0,0,0.0,0.0,-100.0
Visitante,0.74,1723,0,0,0.0,0.0,-100.0
Visitante,0.75,1723,0,0,0.0,0.0,-100.0
Visitante,0.76,1723,0,0,0.0,0.0,-100.0
Visitante,0.78,1723,0,0,0.0,0.0,-100.0
Visitante,0.8,1723,0,0,0.0,0.0,-100.0
Visitante,0.82,1723,0,0,0.0,0.0,-100.0
Visitante,0.84,1723,0,0,0.0,0.0,-100.0
Visitante,0.85,1723,0,0,0.0,0.0,-100.0
Visitante,0.86,1723,0,0,0.0,0.0,-100.0
Visitante,0.88,1723,0,0,0.0,0.0,-100.0
Visitante,0.9,1723,0,0,0.0,0.0,-100.0
Visitante,0.92,1723,0,0,0.0,0.0,-100.0
Visitante,0.94,1723,0,0,0.0,0.0,-100.0
Visitante,0.95,1723,0,0,0.0,0.0,-100.0
Visitante,0.96,1723,0,0,0.0,0.0,-100.0
Visitante,0.98,1723,0,0,0.0,0.0,-100.0
Visitante,1.0,1723,0,0,0.0,0.0,-100.0
Partido,0.5,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.52,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.54,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.55,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.56,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.57,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.58,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.59,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.6,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.62,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.64,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.65,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.66,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.67,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.68,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
Partido,0.69,1723,1723,849,49.27452118398143,100.0,-6.378409750435288
