fecha,id_partido,equipo_local,equipo_visitante,prob_yrfi_predicha,prob_local_anota,prob_visitante_anota,game_yrfi_real,home_yrfi_target,away_yrfi_target,prediction,prediccion_local,prediccion_visitante
2025-04-25,778192,133,140,0.9683015,0.6693237,0.90414035,0,0,0,1,1,1
2025-04-25,778182,112,143,0.24048871,0.15673597,0.09931975,0,0,0,0,0,0
2025-04-25,778188,109,139,0.6197258,0.22268745,0.51078343,1,1,0,1,0,0
2025-04-25,778191,108,134,0.6038332,0.36178267,0.37926042,1,0,1,1,0,0
2025-04-25,778185,147,141,0.64810574,0.62913847,0.051143687,0,0,0,1,1,0
2025-04-25,778187,118,117,0.5443487,0.12570164,0.4788378,0,0,0,0,0,0
2025-04-25,778186,142,108,0.536936,0.3313498,0.30746448,1,1,0,0,0,0
2025-04-25,778183,120,121,0.6968727,0.46619144,0.43214244,0,0,0,1,0,0
2025-04-26,778181,115,113,0.82778966,0.8074992,0.10540464,1,0,1,1,1,0
2025-04-26,778175,136,146,0.3705241,0.3250642,0.06735446,0,0,0,0,0,0
2025-04-26,778171,137,140,0.5915154,0.38862434,0.33185998,0,0,0,1,0,0
2025-04-26,778176,119,134,0.40656567,0.36589682,0.064136036,1,0,1,0,0,0
2025-04-26,778184,138,158,0.87823844,0.516671,0.7480772,0,0,0,1,0,1
2025-04-26,778177,109,144,0.78441715,0.54612565,0.5250165,0,0,0,1,0,0
2025-04-26,778169,114,111,0.41506338,0.33660692,0.11826545,1,0,1,0,0,0
2025-04-26,778172,135,139,0.18136871,0.102491856,0.08788427,0,0,0,0,0,0
2025-04-26,778179,114,111,0.61427605,0.49291253,0.23933443,1,1,1,1,0,0
2025-04-26,778178,133,145,0.48780727,0.333589,0.23141626,0,0,0,0,0,0
2025-04-26,778168,116,110,0.873414,0.17772914,0.8460531,0,0,0,1,0,1
2025-04-26,778167,118,117,0.6141078,0.41099742,0.34483784,1,1,0,1,0,0
2025-04-26,778165,133,145,0.57765925,0.23976362,0.4444612,1,0,1,1,0,0
2025-04-26,778159,137,140,0.8886011,0.66781634,0.6646467,1,0,1,1,1,1
2025-04-26,778174,112,143,0.88281906,0.8599619,0.16322103,0,0,0,1,1,0
2025-04-26,778180,116,110,0.3189988,0.09104548,0.25078633,0,0,0,0,0,0
2025-04-26,778161,115,113,0.5760526,0.5496883,0.058546834,0,0,0,1,0,0
2025-04-26,778164,138,158,0.77403855,0.7519193,0.08916135,0,0,0,1,1,0
2025-04-26,778166,142,108,0.8376274,0.5496883,0.6394219,1,1,0,1,0,1
2025-04-26,778173,120,121,0.17974621,0.10660216,0.08187178,0,0,0,0,0,0
2025-04-27,778155,116,110,0.8199191,0.7026755,0.39432874,0,0,0,1,1,0
2025-04-27,778162,109,144,0.6073779,0.07807782,0.5741266,1,0,1,1,0,1
2025-04-27,778160,135,139,0.63450766,0.5197663,0.23892812,0,0,0,1,0,0
2025-04-27,778163,119,134,0.4084503,0.33276993,0.11342472,1,1,1,0,0,0
2025-04-27,778154,136,146,0.5546769,0.37593603,0.28641433,1,1,0,1,0,0
2025-04-27,778153,120,121,0.3354565,0.114168696,0.2498081,1,0,1,0,0,0
2025-04-27,778156,147,141,0.4506811,0.22444129,0.29171202,1,0,1,0,0,0
2025-04-27,778170,147,141,0.7499573,0.60682106,0.36404875,1,1,0,1,1,0
2025-04-27,778157,114,111,0.88834894,0.83085,0.33992848,0,0,0,1,1,0
2025-04-27,778144,142,108,0.5735738,0.110990115,0.52033585,1,1,0,1,0,0
