fecha,id_partido,equipo_local,equipo_visitante,prob_yrfi_predicha,prob_local_anota,prob_visitante_anota,game_yrfi_real,home_yrfi_target,away_yrfi_target,prediccion_yrfi,prediccion_local,prediccion_visitante
2025-04-25,778187,118,117,0.23008585,0.030644232,0.5219131,0,0,0,0,0,1
2025-04-25,778183,120,121,0.2450635,0.47971264,0.44056946,0,0,0,0,0,0
2025-04-25,778186,142,108,0.26960677,0.27151123,0.23476382,1,1,0,0,0,0
2025-04-25,778185,147,141,0.40697902,0.5560797,0.015187458,0,0,0,0,1,0
2025-04-25,778192,133,140,0.7482708,0.86794585,0.97388476,0,0,0,1,1,1
2025-04-25,778188,109,139,0.35652038,0.046911962,0.44417477,1,1,0,0,0,0
2025-04-25,778182,112,143,0.47924682,0.105810784,0.021599894,0,0,0,0,0,0
2025-04-25,778191,108,134,0.49643385,0.31125647,0.52474886,1,0,1,0,0,1
2025-04-26,778167,118,117,0.46681008,0.38491076,0.52056557,1,1,0,0,0,1
2025-04-26,778173,120,121,0.22524576,0.021028602,0.011809669,0,0,0,0,0,0
2025-04-26,778166,142,108,0.6667106,0.40224382,0.8917816,1,1,0,1,0,1
2025-04-26,778164,138,158,0.53683007,0.7293996,0.018895915,0,0,0,1,1,0
2025-04-26,778180,116,110,0.18178235,0.074921235,0.079971895,0,0,0,0,0,0
2025-04-26,778174,112,143,0.6142411,0.7305266,0.1555306,0,0,0,1,1,0
2025-04-26,778159,137,140,0.8934104,0.68756896,0.44724917,1,0,1,1,1,0
2025-04-26,778165,133,145,0.290657,0.13956358,0.38746807,1,0,1,0,0,0
2025-04-26,778168,116,110,0.6180805,0.28448126,0.87643534,0,0,0,1,0,1
2025-04-26,778161,115,113,0.310307,0.40224382,0.019099517,0,0,0,0,0,0
2025-04-26,778179,114,111,0.78011423,0.343619,0.3683817,1,1,1,1,0,0
2025-04-26,778175,136,146,0.38679752,0.27842015,0.043288805,0,0,0,0,0,0
2025-04-26,778171,137,140,0.7787893,0.2961456,0.19680983,0,0,0,1,0,0
2025-04-26,778178,133,145,0.67408556,0.44235379,0.15663616,0,0,0,1,0,0
2025-04-26,778176,119,134,0.3539082,0.13043985,0.014688257,1,0,1,0,0,0
2025-04-26,778181,115,113,0.4853171,0.78311455,0.065332234,1,0,1,0,1,0
2025-04-26,778177,109,144,0.5991179,0.46170574,0.5201019,0,0,0,1,0,1
2025-04-26,778169,114,111,0.4355912,0.33220422,0.092619725,1,0,1,0,0,0
2025-04-26,778172,135,139,0.21766023,0.030540818,0.028334914,0,0,0,0,0,0
2025-04-26,778184,138,158,0.81402117,0.56979007,0.8737778,0,0,0,1,1,1
2025-04-27,778148,115,113,0.51194143,0.48498192,0.49999422,1,0,1,0,0,0
2025-04-27,778150,138,158,0.7791953,0.84806365,0.42456502,1,0,1,1,1,0
2025-04-27,778158,112,143,0.7110916,0.7664379,0.43757004,0,0,0,1,1,0
2025-04-27,778136,136,146,0.5183478,0.69404405,0.5198051,1,1,1,0,1,0
2025-04-27,778147,109,144,0.8407278,0.12756358,0.42257613,1,1,0,1,0,0
2025-04-27,778146,135,139,0.6045082,0.20137799,0.5513659,0,0,0,1,0,1
2025-04-27,778145,119,134,0.43501407,0.05236511,0.060092896,1,1,1,0,0,0
2025-04-27,778149,133,145,0.22908057,0.9237177,0.050681893,1,1,1,0,1,0
2025-04-27,778151,137,140,0.6902994,0.5576242,0.9102301,1,1,1,1,1,1
2025-04-27,778152,118,117,0.50819093,0.2931983,0.62757236,0,0,0,0,0,1
2025-04-27,778144,142,108,0.5134817,0.14029993,0.4686944,1,1,0,0,0,0
2025-04-27,778157,114,111,0.7293301,0.9377831,0.22063328,0,0,0,1,1,0
2025-04-27,778170,147,141,0.3246822,0.66228074,0.113349125,1,1,0,0,1,0
2025-04-27,778156,147,141,0.72533834,0.28895584,0.040767588,1,0,1,1,0,0
2025-04-27,778153,120,121,0.1267105,0.07551104,0.048790593,1,0,1,0,0,0
2025-04-27,778154,136,146,0.8406893,0.3130393,0.31781536,1,1,0,1,0,0
2025-04-27,778163,119,134,0.23425098,0.17543799,0.081866115,1,1,1,0,0,0
2025-04-27,778160,135,139,0.40650848,0.5967501,0.20440343,0,0,0,0,1,0
2025-04-27,778162,109,144,0.3801846,0.013617524,0.29884985,1,0,1,0,0,0
2025-04-27,778155,116,110,0.76863164,0.76627916,0.37543687,0,0,0,1,1,0
2025-04-28,778140,110,147,0.76838046,0.64135844,0.1695268,0,0,0,1,1,0
2025-04-28,778141,113,138,0.2334041,0.1466726,0.4684433,1,0,1,0,0,0
2025-04-28,778139,114,142,0.41073748,0.011373343,0.067047715,1,0,1,0,0,0
2025-04-28,778138,120,121,0.2653408,0.38659054,0.7386543,0,0,0,0,0,1
2025-04-29,778128,139,118,0.17373484,0.54317933,0.11297961,1,0,1,0,1,0
2025-04-29,778135,134,112,0.51155096,0.08521519,0.14154708,0,0,0,0,0,0
2025-04-29,778131,143,120,0.3020958,0.0703521,0.052958127,1,1,0,0,0,0
2025-04-29,778130,121,109,0.6077458,0.44102836,0.035481125,0,0,0,1,0,0
2025-04-29,778127,141,111,0.5962061,0.08148225,0.025055446,1,0,1,1,0,0
2025-04-29,778125,145,158,0.50518817,0.19811852,0.43793327,1,1,1,0,0,0
2025-04-29,778133,110,147,0.5408682,0.8601331,0.4014796,1,0,1,1,1,0
2025-04-29,778132,119,146,0.711766,0.6321505,0.80172473,1,1,0,1,1,1
2025-04-29,778137,115,144,0.26002303,0.49901757,0.79121614,1,1,0,0,0,1
2025-04-29,778143,140,133,0.5591784,0.46441492,0.95320463,0,0,0,1,0,1
2025-04-29,778129,114,142,0.445087,0.07553929,0.1032892,0,0,0,0,0,0
2025-04-29,778142,117,116,0.65656245,0.0797667,0.035982214,0,0,0,1,0,0
2025-04-30,778104,136,108,0.37331283,0.6069969,0.2511019,1,0,1,0,1,0
2025-04-30,778111,145,158,0.70379853,0.15932532,0.42724928,1,0,1,1,0,0
2025-04-30,778117,121,109,0.73258656,0.44207332,0.77843106,0,0,0,1,0,1
2025-04-30,778114,141,111,0.53410894,0.2752657,0.052560948,1,0,1,1,0,0
2025-04-30,778113,139,118,0.42571133,0.46255964,0.037677962,1,0,1,0,0,0
2025-04-30,778118,143,120,0.6272541,0.80377936,0.3201842,1,1,0,1,1,0
2025-04-30,778112,134,112,0.4816464,0.15931961,0.6379247,1,1,0,0,0,1
2025-04-30,778115,110,147,0.7924903,0.12324067,0.13881633,1,0,1,1,0,0
2025-04-30,778116,114,142,0.6675165,0.15174496,0.15300661,0,0,0,1,0,0
2025-04-30,778105,135,137,0.4396564,0.6056286,0.643528,0,0,0,0,1,1
2025-04-30,778109,119,146,0.19364075,0.3612984,0.021590067,0,0,0,0,0,0
2025-04-30,778119,113,138,0.278115,0.37968323,0.16722724,1,0,1,0,0,0
2025-04-30,778134,113,138,0.37307176,0.5518426,0.06029491,1,0,1,0,1,0
2025-04-30,778123,119,146,0.49800462,0.62383515,0.009406558,1,1,1,0,1,0
2025-04-30,778126,135,137,0.40972105,0.22623965,0.06090382,1,1,0,0,0,0
2025-04-30,778121,136,108,0.805927,0.46245432,0.5734552,0,0,0,1,0,1
2025-04-30,778120,115,144,0.34970367,0.2705661,0.9083229,0,0,0,0,0,1
2025-04-30,778124,117,116,0.5492028,0.7737606,0.023443202,1,0,1,1,1,0
2025-04-30,778122,140,133,0.7079511,0.5051492,0.8458366,0,0,0,1,0,1
2025-04-30,778102,115,144,0.27686736,0.28893846,0.4953832,0,0,0,0,0,0
2025-04-30,778110,117,116,0.2796575,0.10344661,0.014810566,1,1,0,0,0,0
